---------------------------------------------------------------------------------------------
SID: 1824482
Output for file: large-sample1.txt
---------------------------------------------------------------------------------------------
'total number of words'= 4202791
'total number of distinct words'= 204786
'popular_threshold_word': 10240
'common_threshold_l_word': 97273
'common_threshold_u_word': 107513
'rare_threshold_word': 194546
---------------------------------------------------------------------------------------------

Popular Words
+-----+---------------+---------+
| Rank|           Word|Frequency|
+-----+---------------+---------+
|    1|            the|   194876|
|    2|             of|   177868|
|    3|             to|   153771|
|    4|             or|   111822|
|    5|           defn|   102760|
|    6|             in|    70174|
|    7|            and|    62379|
|    8|             as|    56347|
|    9|           etym|    53310|
|   10|            see|    32240|
|   11|             an|    29617|
|   12|             by|    28374|
|   13|             is|    27467|
|   14|           with|    25594|
|   15|          which|    22873|
|   16|            one|    21334|
|   17|           from|    21279|
|   18|            for|    20361|
|   19|             cf|    18458|
|   20|            obs|    17982|
|   21|           that|    14906|
|   22|             it|    14598|
|   23|             on|    12974|
|   24|             fr|    12373|
|   25|             be|    11821|
|   26|           also|    11295|
|   27|             zo|    10930|
|   28|            not|    10769|
|   29|            are|    10102|
|   30|           shak|     9842|
|   31|             gr|     9760|
|   32|            who|     9731|
|   33|           used|     8534|
|   34|             at|     8485|
|   35|          being|     8410|
|   36|         called|     7804|
|   37|         having|     7741|
|   38|            his|     7505|
|   39|             pr|     7247|
|   40|            etc|     7064|
|   41|            any|     6890|
|   42|             so|     6671|
|   43|            imp|     6526|
|   44|          under|     6265|
|   45|     pertaining|     6173|
|   46|            adv|     6156|
|   47|            bot|     6123|
|   48|             pl|     6043|
|   49|             vb|     5968|
|   50|            act|     5838|
|   51|          state|     5763|
|   52|             er|     5736|
|   53|             he|     5660|
|   54|           into|     5583|
|   55|            its|     5477|
|   56|          other|     5465|
|   57|             ly|     5041|
|   58|            but|     5002|
|   59|            was|     4962|
|   60|           like|     4958|
|   61|             al|     4854|
|   62|            all|     4851|
|   63|           form|     4832|
|   64|            out|     4631|
|   65|           some|     4470|
|   66|           make|     4438|
|   67|           note|     4418|
|   68|          their|     4415|
|   69|           have|     4407|
|   70|           same|     4397|
|   71|         milton|     4347|
|   72|           part|     4310|
|   73|            law|     4256|
|   74|             oe|     4256|
|   75|           they|     4186|
|   76|            two|     4149|
|   77|            man|     4131|
|   78|           this|     4126|
|   79|          small|     4093|
|   80|           upon|     3981|
|   81|             ic|     3919|
|   82|             re|     3905|
|   83|           when|     3892|
|   84|           made|     3891|
|   85|           chem|     3870|
|   86|             up|     3826|
|   87|           more|     3787|
|   88|            sir|     3781|
|   89|        chaucer|     3749|
|   90|          water|     3680|
|   91|           tion|     3663|
|   92|             nl|     3570|
|   93|          hence|     3557|
|   94|            has|     3543|
|   95|            syn|     3536|
|   96|           akin|     3508|
|   97|        species|     3463|
|   98|             no|     3428|
|   99|           ness|     3420|
|  100|          place|     3361|
|  101|           body|     3261|
|  102|         manner|     3221|
|  103|            ter|     3158|
|  104|           pref|     3099|
|  105|        quality|     3083|
|  106|             de|     3074|
|  107|         person|     3016|
|  108|        without|     2998|
|  109|           kind|     2981|
|  110|          genus|     2943|
|  111|           name|     2887|
|  112|           time|     2860|
|  113|        another|     2856|
|  114|            eng|     2823|
|  115|             un|     2802|
|  116|     especially|     2799|
|  117|         dryden|     2789|
|  118|        written|     2783|
|  119|             my|     2754|
|  120|        usually|     2673|
|  121|        certain|     2653|
|  122|            ble|     2648|
|  123|            med|     2616|
|  124|          large|     2609|
|  125|            may|     2561|
|  126|           such|     2551|
|  127|         common|     2525|
|  128|            her|     2500|
|  129|        between|     2452|
|  130|            ing|     2435|
|  131|           over|     2404|
|  132|          great|     2386|
|  133|           will|     2380|
|  134|             ll|     2366|
|  135|             we|     2351|
|  136|           than|     2343|
|  137|        spenser|     2341|
|  138|           long|     2315|
|  139|          white|     2310|
|  140|           said|     2302|
|  141|          often|     2296|
|  142|           them|     2276|
|  143|             ri|     2271|
|  144|            con|     2246|
|  145|            esp|     2231|
|  146|          light|     2219|
|  147|           acid|     2207|
|  148|        through|     2180|
|  149|            him|     2157|
|  150|           were|     2155|
|  151|      sometimes|     2150|
|  152|           anat|     2141|
|  153|             do|     2133|
|  154|            men|     2093|
|  155|           line|     2092|
|  156|           head|     2088|
|  157|          power|     2083|
|  158|             di|     2082|
|  159|             me|     2072|
|  160|           icel|     2070|
|  161|             en|     2067|
|  162|           prov|     2063|
|  163|            can|     2055|
|  164|          first|     2050|
|  165|           less|     2049|
|  166|            per|     2044|
|  167|             ti|     2029|
|  168|           very|     2012|
|  169|            use|     2010|
|  170|          parts|     2005|
|  171|          order|     1999|
|  172|           many|     1997|
|  173|           word|     1984|
|  174|        applied|     1977|
|  175|          plant|     1961|
|  176|            off|     1960|
|  177|          after|     1948|
|  178|           side|     1917|
|  179|             if|     1905|
|  180|             ty|     1904|
|  181|           what|     1900|
|  182|          about|     1893|
|  183|           good|     1891|
|  184|             ta|     1889|
|  185|          cause|     1880|
|  186|             ry|     1880|
|  187|            you|     1875|
|  188|             la|     1873|
|  189|      substance|     1868|
|  190|            dis|     1863|
|  191|     resembling|     1862|
|  192|          color|     1861|
|  193|           each|     1861|
|  194|            our|     1852|
|  195|            old|     1851|
|  196|           naut|     1849|
|  197|       anything|     1848|
|  198|            sea|     1842|
|  199|           self|     1836|
|  200|           tree|     1811|
|  201|           been|     1807|
|  202|      something|     1805|
|  203|             ra|     1796|
|  204|          those|     1795|
|  205|         action|     1790|
|  206|          sense|     1787|
|  207|            end|     1781|
|  208|           take|     1777|
|  209|            now|     1776|
|  210|           life|     1775|
|  211|        several|     1773|
|  212|          there|     1760|
|  213|         before|     1754|
|  214|            set|     1753|
|  215|             ex|     1753|
|  216|       formerly|     1752|
|  217|          right|     1750|
|  218|           wood|     1735|
|  219|          where|     1735|
|  220|          point|     1731|
|  221|             go|     1708|
|  222|           give|     1699|
|  223|           work|     1686|
|  224|       together|     1675|
|  225|        process|     1673|
|  226|           pope|     1664|
|  227|          given|     1661|
|  228|          found|     1654|
|  229|           mind|     1642|
|  230|          three|     1642|
|  231|           down|     1637|
|  232|          bacon|     1633|
|  233|           back|     1626|
|  234|           hand|     1626|
|  235|           most|     1624|
|  236|        surface|     1624|
|  237|            way|     1617|
|  238|            day|     1612|
|  239|            ous|     1611|
|  240|            red|     1607|
|  241|     consisting|     1603|
|  242|           ship|     1601|
|  243|            air|     1592|
|  244|          thing|     1591|
|  245|          black|     1590|
|  246|            put|     1589|
|  247|            dan|     1589|
|  248|             ma|     1578|
|  249|     containing|     1573|
|  250|            had|     1568|
|  251|             ca|     1565|
|  252|           arch|     1562|
|  253|     instrument|     1562|
|  254|           only|     1556|
|  255|       american|     1547|
|  256|           land|     1538|
|  257|            god|     1527|
|  258|          words|     1511|
|  259|           iron|     1510|
|  260|          south|     1496|
|  261|             na|     1488|
|  262|             sw|     1475|
|  263|         colloq|     1470|
|  264|           fish|     1466|
|  265|             li|     1463|
|  266|         nature|     1459|
|  267|         plants|     1449|
|  268|            ohg|     1447|
|  269|         little|     1446|
|  270|            min|     1444|
|  271|           much|     1441|
|  272|          sound|     1438|
|  273|          house|     1437|
|  274|        against|     1436|
|  275|             co|     1435|
|  276|          piece|     1416|
|  277|          force|     1415|
|  278|           well|     1415|
|  279|             st|     1410|
|  280|          earth|     1408|
|  281|         united|     1408|
|  282|           full|     1407|
