---------------------------------------------------------------------------------------------
SID: 1824482
Output for file: large-sample2.txt
---------------------------------------------------------------------------------------------
'total number of words'= 2708513
'total number of distinct words'= 45744
'popular_threshold_word': 2288
'common_threshold_l_word': 21728
'common_threshold_u_word': 24016
'rare_threshold_word': 43456
---------------------------------------------------------------------------------------------

Popular Words
+----+--------------+---------+
|Rank|          Word|Frequency|
+----+--------------+---------+
|   1|           the|   155357|
|   2|           and|   122642|
|   3|            of|    79507|
|   4|            to|    71719|
|   5|            it|    51429|
|   6|            in|    48204|
|   7|          that|    40846|
|   8|           was|    39606|
|   9|            he|    33671|
|  10|            is|    24868|
|  11|           for|    22556|
|  12|           you|    22407|
|  13|           his|    21752|
|  14|          with|    21096|
|  15|           but|    20878|
|  16|           not|    17248|
|  17|           had|    16950|
|  18|            as|    16544|
|  19|          they|    15132|
|  20|            we|    14805|
|  21|            on|    14421|
|  22|            at|    14172|
|  23|           all|    13766|
|  24|          this|    13523|
|  25|          have|    12945|
|  26|           him|    12804|
|  27|            be|    12769|
|  28|            by|    12429|
|  29|           one|    12049|
|  30|         there|    11846|
|  31|            so|    11403|
|  32|           her|    10728|
|  33|            my|    10638|
|  34|           she|    10553|
|  35|            me|    10294|
|  36|            no|    10070|
|  37|          were|     9940|
|  38|         would|     9846|
|  39|          from|     9677|
|  40|           out|     9555|
|  41|            or|     8943|
|  42|          when|     8838|
|  43|            up|     8817|
|  44|            an|     8608|
|  45|          said|     8434|
|  46|          them|     8420|
|  47|          then|     8214|
|  48|            if|     8121|
|  49|           are|     7998|
|  50|         which|     7996|
|  51|          what|     7088|
|  52|         could|     6932|
|  53|          will|     6908|
|  54|            do|     6673|
|  55|           now|     6620|
|  56|         about|     6602|
|  57|         their|     6455|
|  58|          time|     6294|
|  59|          been|     6196|
|  60|           any|     5268|
|  61|           man|     5267|
|  62|           has|     5190|
|  63|           can|     5106|
|  64|          down|     5065|
|  65|           see|     4954|
|  66|         other|     4805|
|  67|          more|     4800|
|  68|           who|     4776|
|  69|          well|     4707|
|  70|          good|     4632|
|  71|          some|     4610|
|  72|          like|     4581|
|  73|           two|     4569|
|  74|           its|     4569|
|  75|           did|     4556|
|  76|          know|     4472|
|  77|          your|     4410|
|  78|          into|     4294|
|  79|          upon|     4268|
|  80|           our|     4189|
|  81|           got|     4178|
|  82|           day|     4147|
|  83|          made|     4046|
|  84|         these|     4041|
|  85|         never|     4034|
|  86|        little|     4027|
|  87|          only|     4014|
|  88|           way|     3990|
|  89|            go|     3876|
|  90|          over|     3867|
|  91|            us|     3796|
|  92|           get|     3756|
|  93|           old|     3690|
|  94|          very|     3627|
|  95|        before|     3597|
|  96|           how|     3561|
|  97|          here|     3432|
|  98|          come|     3429|
|  99|          than|     3428|
| 100|          just|     3391|
| 101|         great|     3309|
| 102|         thing|     3296|
| 103|         again|     3282|
| 104|         after|     3269|
| 105|           say|     3201|
| 106|          long|     3134|
| 107|          make|     3127|
| 108|          such|     3121|
| 109|           don|     3068|
| 110|          went|     3010|
| 111|           new|     3004|
| 112|        people|     2997|
