---------------------------------------------------------------------------------------------
SID: 1824482
Output for file: sample-d.txt
---------------------------------------------------------------------------------------------
'total number of words'= 2902023
'total number of distinct words'= 59165
'popular_threshold_word': 2959
'common_threshold_l_word': 28103
'common_threshold_u_word': 31062
'rare_threshold_word': 56206
---------------------------------------------------------------------------------------------

Popular Words
+----+---------------+---------+
|Rank|           Word|Frequency|
+----+---------------+---------+
|   1|            the|   159283|
|   2|            and|    95836|
|   3|             of|    93727|
|   4|             to|    76267|
|   5|             in|    51286|
|   6|           that|    38456|
|   7|             he|    31425|
|   8|             it|    30163|
|   9|            you|    28108|
|  10|             is|    27315|
|  11|            his|    26786|
|  12|           with|    24798|
|  13|            was|    24176|
|  14|            for|    23292|
|  15|             be|    22352|
|  16|             as|    21977|
|  17|            not|    21943|
|  18|             my|    20803|
|  19|            but|    18569|
|  20|           this|    16940|
|  21|           have|    16050|
|  22|             on|    15138|
|  23|             me|    15013|
|  24|             by|    14973|
|  25|            her|    14287|
|  26|            him|    14186|
|  27|             at|    14156|
|  28|            all|    13784|
|  29|          which|    13226|
|  30|            had|    12932|
|  31|             or|    12438|
|  32|             so|    12127|
|  33|           they|    11368|
|  34|           from|    11307|
|  35|           will|    11227|
|  36|            are|    10935|
|  37|             we|    10840|
|  38|           what|    10627|
|  39|             no|    10417|
|  40|            she|    10332|
|  41|           your|    10019|
|  42|            one|     9683|
|  43|             if|     9351|
|  44|          there|     9194|
|  45|          would|     8950|
|  46|          their|     8584|
|  47|           were|     8231|
|  48|             an|     8144|
|  49|           when|     7863|
|  50|           them|     7747|
|  51|             do|     7732|
|  52|           more|     7095|
|  53|            now|     7007|
|  54|           then|     6822|
|  55|            who|     6634|
|  56|           said|     6506|
|  57|           thou|     6466|
|  58|            our|     6307|
|  59|            out|     5982|
|  60|            man|     5867|
|  61|           good|     5832|
|  62|           like|     5672|
|  63|           than|     5516|
|  64|           been|     5435|
|  65|            may|     5234|
|  66|          shall|     5204|
|  67|             up|     5133|
|  68|           upon|     5065|
|  69|           some|     5048|
|  70|           well|     5026|
|  71|            any|     4731|
|  72|          other|     4664|
|  73|            how|     4659|
|  74|           time|     4634|
|  75|            thy|     4625|
|  76|            sir|     4535|
|  77|           must|     4427|
|  78|           lord|     4402|
|  79|           here|     4363|
|  80|           such|     4334|
|  81|             us|     4333|
|  82|           come|     4259|
|  83|            did|     4245|
|  84|         should|     4241|
|  85|           into|     4207|
|  86|            can|     4200|
|  87|          could|     4170|
|  88|            has|     4091|
|  89|            see|     4019|
|  90|           very|     4001|
|  91|          these|     3959|
|  92|            let|     3875|
|  93|          first|     3847|
|  94|            say|     3806|
|  95|             am|     3787|
|  96|           know|     3756|
|  97|          great|     3722|
|  98|           thee|     3691|
|  99|           king|     3683|
| 100|           only|     3657|
| 101|           most|     3573|
| 102|            yet|     3546|
| 103|            too|     3474|
| 104|            two|     3471|
| 105|             mr|     3463|
| 106|           love|     3455|
| 107|          about|     3445|
| 108|          where|     3440|
| 109|         little|     3436|
| 110|             go|     3386|
| 111|           make|     3343|
| 112|           much|     3336|
| 113|             ll|     3321|
| 114|          never|     3297|
| 115|         before|     3290|
| 116|           made|     3207|
| 117|            old|     3205|
| 118|            men|     3110|
| 119|           life|     3099|
| 120|            own|     3080|
| 121|            its|     3061|
| 122|           down|     2990|
| 123|          those|     2968|
| 124|            day|     2965|
| 125|          after|     2839|
| 126|           over|     2698|
| 127|          think|     2654|
| 128|            way|     2632|
| 129|          enter|     2617|
| 130|          might|     2617|
| 131|           long|     2611|
| 132|          again|     2609|
| 133|           take|     2580|
| 134|          still|     2573|
| 135|           hand|     2554|
| 136|            why|     2552|
| 137|           give|     2518|
| 138|           even|     2513|
| 139|         though|     2367|
| 140|          state|     2354|
| 141|          every|     2319|
| 142|           many|     2316|
| 143|          being|     2284|
| 144|         father|     2276|
| 145|           away|     2247|
| 146|           eyes|     2227|
| 147|           work|     2225|
| 148|           tell|     2186|
| 149|           look|     2180|
| 150|        himself|     2163|
| 151|        another|     2160|
| 152|           ever|     2138|
| 153|           same|     2108|
| 154|            nor|     2105|
| 155|          night|     2102|
| 156|        against|     2096|
| 157|           hath|     2087|
| 158|          house|     2058|
| 159|           true|     2045|
| 160|        without|     2037|
| 161|          heart|     2024|
| 162|        nothing|     2013|
| 163|           head|     1990|
| 164|          under|     1979|
| 165|          world|     1977|
| 166|           back|     1975|
| 167|           last|     1951|
| 168|           came|     1943|
| 169|           both|     1941|
| 170|            off|     1936|
| 171|        thought|     1911|
| 172|        through|     1903|
| 173|           just|     1850|
| 174|          place|     1824|
| 175|            god|     1817|
| 176|         people|     1789|
| 177|            new|     1780|
| 178|          three|     1777|
| 179|           part|     1744|
| 180|          right|     1733|
| 181|          speak|     1726|
| 182|         cannot|     1725|
| 183|           name|     1702|
| 184|           once|     1692|
| 185|          while|     1689|
| 186|            far|     1678|
| 187|          years|     1676|
| 188|          death|     1654|
| 189|           face|     1632|
| 190|           mind|     1625|
| 191|          power|     1623|
| 192|         better|     1622|
| 193|            put|     1620|
| 194|            yes|     1612|
| 195|             st|     1600|
| 196|         things|     1578|
| 197|            tis|     1573|
| 198|           done|     1566|
| 199|           mine|     1556|
| 200|           hear|     1548|
| 201|      gutenberg|     1516|
| 202|          young|     1505|
| 203|        between|     1493|
| 204|     government|     1490|
| 205|          thing|     1489|
| 206|          queen|     1478|
| 207|           lady|     1469|
| 208|            art|     1465|
| 209|        project|     1460|
| 210|           poor|     1455|
| 211|         master|     1452|
| 212|        because|     1449|
| 213|           went|     1438|
| 214|          woman|     1428|
| 215|            get|     1426|
| 216|           thus|     1406|
| 217|          found|     1406|
| 218|           full|     1389|
| 219|           each|     1369|
| 220|           whom|     1366|
| 221|             th|     1366|
| 222|      gladstone|     1361|
| 223|           best|     1359|
| 224|         second|     1351|
| 225|           duke|     1345|
| 226|          whose|     1340|
| 227|           john|     1338|
| 228|            set|     1310|
| 229|          hands|     1308|
| 230|            saw|     1301|
| 231|         nature|     1296|
| 232|           find|     1281|
| 233|           call|     1279|
| 234|         always|     1278|
| 235|            end|     1277|
| 236|         states|     1273|
| 237|           left|     1268|
| 238|          whale|     1256|
| 239|          heard|     1255|
| 240|         myself|     1253|
| 241|          words|     1250|
| 242|           side|     1244|
| 243|      therefore|     1241|
| 244|           home|     1237|
| 245|           till|     1237|
| 246|         within|     1228|
| 247|           seen|     1227|
| 248|         enough|     1226|
| 249|           told|     1219|
| 250|           also|     1218|
| 251|          scene|     1214|
| 252|           wife|     1207|
| 253|         rather|     1200|
| 254|            boy|     1194|
| 255|            son|     1192|
| 256|           word|     1189|
| 257|            don|     1177|
| 258|           fair|     1176|
| 259|           half|     1173|
| 260|           soul|     1171|
| 261|          leave|     1168|
| 262|      something|     1164|
| 263|           says|     1155|
| 264|            sea|     1153|
| 265|           took|     1152|
| 266|         indeed|     1149|
| 267|          round|     1132|
| 268|         almost|     1132|
| 269|          light|     1127|
| 270|          among|     1122|
| 271|          sweet|     1116|
| 272|           dead|     1115|
| 273|          whole|     1114|
| 274|           fear|     1110|
| 275|           less|     1100|
| 276|            got|     1099|
| 277|          since|     1095|
| 278|           doth|     1093|
| 279|           does|     1093|
| 280|         friend|     1090|
| 281|         exeunt|     1089|
| 282|            eye|     1087|
| 283|         seemed|     1083|
| 284|           high|     1079|
| 285|           keep|     1071|
| 286|            use|     1067|
| 287|         course|     1059|
| 288|         looked|     1057|
| 289|            few|     1049|
| 290|        brother|     1046|
| 291|        whether|     1046|
| 292|         answer|     1043|
| 293|           body|     1042|
| 294|         mother|     1041|
| 295|           days|     1040|
| 296|          blood|     1027|
| 297|          bloom|     1020|
| 298|           gone|     1020|
| 299|         having|     1015|
| 300|          truth|     1014|
| 301|           exit|     1011|
| 302|         matter|     1009|
| 303|         heaven|     1002|
| 304|         public|     1000|
| 305|        general|     1000|
| 306|           hold|      997|
| 307|         honour|      996|
| 308|          stand|      996|
| 309|         either|      996|
| 310|           soon|      996|
| 311|       question|      984|
| 312|         prince|      981|
| 313|           knew|      981|
| 314|        friends|      978|
| 315|           live|      975|
| 316|           rest|      973|
| 317|           kind|      972|
| 318|          women|      966|
| 319|          white|      966|
| 320|         reason|      961|
| 321|           show|      960|
| 322|          henry|      957|
| 323|        country|      955|
| 324|       together|      955|
| 325|           case|      952|
| 326|          comes|      952|
| 327|           hope|      948|
| 328|           sure|      943|
| 329|         others|      931|
| 330|           gave|      929|
| 331|          quite|      925|
| 332|          going|      925|
| 333|      gentleman|      921|
| 334|           room|      913|
| 335|          noble|      912|
| 336|             tm|      912|
| 337|        present|      908|
| 338|           pray|      907|
| 339|        perhaps|      905|
| 340|           near|      895|
| 341|           door|      893|
| 342|        brought|      891|
| 343|          peace|      887|
| 344|          asked|      887|
| 345|            war|      887|
| 346|            mrs|      886|
