---------------------------------------------------------------------------------------------
SID: 1824482
Output for file: sample-f.txt
---------------------------------------------------------------------------------------------
'total number of words'= 2915891
'total number of distinct words'= 46748
'popular_threshold_word': 2338
'common_threshold_l_word': 22205
'common_threshold_u_word': 24543
'rare_threshold_word': 44410
---------------------------------------------------------------------------------------------

Popular Words
+----+--------------+---------+
|Rank|          Word|Frequency|
+----+--------------+---------+
|   1|           the|   188590|
|   2|           and|   130522|
|   3|            of|   103144|
|   4|            to|    77156|
|   5|            in|    50041|
|   6|          that|    40512|
|   7|            he|    35439|
|   8|            it|    34786|
|   9|           was|    33897|
|  10|           for|    28029|
|  11|           his|    27381|
|  12|          with|    23533|
|  13|            is|    23175|
|  14|            as|    21290|
|  15|           not|    20897|
|  16|           her|    20698|
|  17|            be|    19974|
|  18|           but|    19174|
|  19|          they|    18798|
|  20|           you|    18420|
|  21|           had|    18019|
|  22|           she|    16547|
|  23|           him|    16389|
|  24|            my|    15894|
|  25|           all|    15336|
|  26|            by|    14669|
|  27|         which|    14583|
|  28|            on|    14314|
|  29|            me|    14285|
|  30|            at|    14281|
|  31|          them|    13793|
|  32|          have|    13282|
|  33|          this|    13006|
|  34|            or|    12224|
|  35|          from|    12128|
|  36|         shall|    11889|
|  37|          said|    11729|
|  38|            so|    10891|
|  39|         their|    10819|
|  40|           one|    10633|
|  41|          were|    10453|
|  42|          when|     9864|
|  43|           are|     9854|
|  44|         there|     9765|
|  45|            we|     9066|
|  46|            no|     8966|
|  47|          unto|     8724|
|  48|            up|     8540|
|  49|           out|     8480|
|  50|            if|     8441|
|  51|          lord|     8352|
|  52|          then|     7940|
|  53|          will|     7919|
|  54|            an|     7394|
|  55|           man|     6965|
|  56|          what|     6813|
|  57|         would|     6586|
|  58|           who|     6487|
|  59|            do|     6283|
|  60|           any|     6061|
|  61|          into|     5800|
|  62|          upon|     5771|
|  63|          thou|     5675|
|  64|           god|     5650|
|  65|          been|     5155|
|  66|           did|     5092|
|  67|         about|     5061|
|  68|          your|     5055|
|  69|          time|     4975|
|  70|         other|     4881|
|  71|           now|     4772|
|  72|           thy|     4732|
|  73|          more|     4722|
|  74|          made|     4698|
|  75|        before|     4671|
|  76|          came|     4658|
|  77|         could|     4642|
|  78|           men|     4634|
|  79|          come|     4416|
|  80|        people|     4329|
|  81|         after|     4306|
|  82|          some|     4249|
|  83|          went|     4175|
|  84|          down|     4130|
|  85|            go|     4077|
|  86|          like|     4018|
|  87|          thee|     4002|
|  88|          over|     3976|
|  89|         house|     3973|
|  90|        little|     3880|
|  91|           day|     3877|
|  92|           two|     3848|
|  93|           may|     3841|
|  94|           see|     3835|
|  95|           our|     3819|
|  96|          than|     3790|
|  97|          very|     3750|
|  98|          good|     3689|
|  99|            ye|     3634|
| 100|          king|     3631|
| 101|           can|     3630|
| 102|         great|     3567|
| 103|            us|     3565|
| 104|         these|     3563|
| 105|          well|     3447|
| 106|        should|     3399|
| 107|           let|     3340|
| 108|         again|     3327|
| 109|          such|     3322|
| 110|          know|     3302|
| 111|         every|     3246|
| 112|          make|     3207|
| 113|           say|     3190|
| 114|          hand|     3144|
| 115|          also|     3132|
| 116|          only|     3119|
| 117|          much|     3100|
| 118|            mr|     3099|
| 119|           how|     3091|
| 120|       against|     3073|
| 121|         never|     3056|
| 122|         first|     3007|
| 123|       because|     2999|
| 124|         where|     2968|
| 125|           way|     2959|
| 126|          away|     2931|
| 127|           son|     2861|
| 128|           has|     2843|
| 129|           own|     2801|
| 130|           old|     2758|
| 131|          many|     2749|
| 132|      children|     2748|
| 133|         those|     2737|
| 134|          hath|     2729|
| 135|          even|     2712|
| 136|        israel|     2659|
| 137|          work|     2646|
| 138|     gutenberg|     2634|
| 139|       without|     2604|
| 140|           put|     2587|
| 141|          take|     2526|
| 142|           got|     2511|
| 143|         being|     2511|
| 144|          give|     2508|
| 145|       project|     2491|
| 146|           don|     2485|
| 147|        things|     2466|
| 148|           off|     2441|
| 149|       another|     2422|
| 150|          life|     2400|
| 151|          must|     2391|
| 152|          took|     2378|
| 153|          long|     2360|
| 154|        father|     2337|
| 155|         right|     2331|
| 156|           yet|     2312|
| 157|            am|     2288|
| 158|          land|     2270|
| 159|         place|     2266|
| 160|     therefore|     2233|
| 161|       himself|     2230|
| 162|           saw|     2186|
