---------------------------------------------------------------------------------------------
SID: 1824482
Output for file: sample-g.txt
---------------------------------------------------------------------------------------------
'total number of words'= 2065860
'total number of distinct words'= 38309
'popular_threshold_word': 1916
'common_threshold_l_word': 18196
'common_threshold_u_word': 20113
'rare_threshold_word': 36393
---------------------------------------------------------------------------------------------

Popular Words
+----+--------------+---------+
|Rank|          Word|Frequency|
+----+--------------+---------+
|   1|           the|    85699|
|   2|           and|    71942|
|   3|            to|    58127|
|   4|            of|    53080|
|   5|            in|    31147|
|   6|          that|    29763|
|   7|           you|    25885|
|   8|            it|    24011|
|   9|            he|    22853|
|  10|            my|    21130|
|  11|           for|    19478|
|  12|           his|    19430|
|  13|           not|    19087|
|  14|            is|    18939|
|  15|          with|    18835|
|  16|            as|    17318|
|  17|            be|    17135|
|  18|           her|    16246|
|  19|           was|    15447|
|  20|            me|    15280|
|  21|           but|    13860|
|  22|          have|    13543|
|  23|           him|    13534|
|  24|          this|    13138|
|  25|           she|    11390|
|  26|            so|    11107|
|  27|            on|    10470|
|  28|           all|    10234|
|  29|          your|    10233|
|  30|            by|    10083|
|  31|            at|    10054|
|  32|           had|    10049|
|  33|          what|     9348|
|  34|          will|     8776|
|  35|            no|     8247|
|  36|            if|     8239|
|  37|            or|     8182|
|  38|          they|     7764|
|  39|          from|     7497|
|  40|           are|     7250|
|  41|         which|     7189|
|  42|          thou|     7162|
|  43|            do|     7012|
|  44|            we|     6889|
|  45|         would|     6404|
|  46|         there|     6079|
|  47|          said|     5967|
|  48|           one|     5877|
|  49|          them|     5846|
|  50|          when|     5731|
|  51|          were|     5537|
|  52|          more|     5356|
|  53|           now|     5261|
|  54|           who|     5152|
|  55|         shall|     5080|
|  56|          good|     4984|
|  57|           thy|     4918|
|  58|         their|     4887|
|  59|            an|     4781|
|  60|          then|     4526|
|  61|        should|     4514|
|  62|           our|     4504|
|  63|          than|     4407|
|  64|          well|     4389|
|  65|          come|     4327|
|  66|           out|     4249|
|  67|            am|     4180|
|  68|          thee|     4170|
|  69|           how|     4160|
|  70|          been|     4002|
|  71|           man|     3948|
|  72|          very|     3899|
|  73|          such|     3830|
|  74|           may|     3814|
|  75|           don|     3792|
|  76|          know|     3778|
|  77|           say|     3751|
|  78|         could|     3748|
|  79|           any|     3735|
|  80|          here|     3733|
|  81|           did|     3663|
|  82|           let|     3644|
|  83|          must|     3617|
|  84|          upon|     3600|
|  85|          some|     3594|
|  86|            up|     3520|
|  87|          like|     3513|
|  88|          king|     3488|
|  89|          lord|     3432|
|  90|           sir|     3404|
|  91|           see|     3396|
|  92|          love|     3340|
|  93|            ll|     3274|
|  94|            us|     3240|
|  95|            go|     3162|
|  96|          time|     3157|
|  97|          make|     3098|
|  98|           can|     3090|
|  99|          much|     2846|
| 100|         where|     2700|
| 101|         other|     2697|
| 102|         never|     2685|
| 103|           has|     2614|
| 104|          give|     2608|
| 105|         these|     2591|
| 106|         enter|     2585|
| 107|          into|     2552|
| 108|        before|     2532|
| 109|          made|     2520|
| 110|         first|     2500|
| 111|         great|     2487|
| 112|           too|     2461|
| 113|          take|     2423|
| 114|            mr|     2405|
| 115|           own|     2384|
| 116|           yet|     2380|
| 117|       quixote|     2327|
| 118|         being|     2309|
| 119|         think|     2307|
| 120|          most|     2269|
| 121|         about|     2240|
| 122|        sancho|     2206|
| 123|           two|     2150|
| 124|          tell|     2135|
| 125|          hath|     2088|
| 126|        little|     2077|
| 127|           why|     2073|
| 128|           day|     2072|
| 129|        though|     2053|
| 130|       himself|     2033|
| 131|         again|     1983|
| 132|         might|     1964|
| 133|       without|     1944|
| 134|           way|     1932|
| 135|          only|     1922|
| 136|         heart|     1913|
| 137|        father|     1890|
| 138|          down|     1855|
| 139|          hand|     1845|
| 140|           nor|     1834|
| 141|         every|     1825|
| 142|          away|     1821|
| 143|       nothing|     1820|
| 144|          lady|     1805|
| 145|         those|     1798|
| 146|          life|     1795|
| 147|        master|     1771|
| 148|         after|     1765|
| 149|          look|     1752|
| 150|           mrs|     1750|
| 151|          mine|     1691|
| 152|           god|     1676|
| 153|         speak|     1667|
| 154|          eyes|     1640|
| 155|          ever|     1607|
| 156|          even|     1591|
| 157|           men|     1581|
| 158|         house|     1567|
| 159|          done|     1564|
| 160|         night|     1555|
| 161|        myself|     1535|
| 162|           tis|     1529|
| 163|          came|     1524|
| 164|          over|     1521|
| 165|          many|     1514|
| 166|           old|     1491|
| 167|        cannot|     1479|
| 168|         still|     1454|
| 169|          long|     1453|
| 170|         world|     1452|
| 171|           off|     1444|
| 172|       another|     1417|
| 173|          duke|     1406|
| 174|          hear|     1393|
| 175|         thing|     1384|
| 176|          miss|     1378|
| 177|        better|     1377|
| 178|       thought|     1369|
| 179|          head|     1357|
| 180|          both|     1343|
| 181|           put|     1343|
| 182|          name|     1338|
| 183|          true|     1325|
| 184|           art|     1317|
| 185|           saw|     1307|
| 186|         death|     1306|
| 187|         place|     1305|
| 188|          same|     1293|
| 189|          once|     1290|
| 190|            th|     1290|
| 191|         while|     1252|
| 192|         woman|     1251|
| 193|         leave|     1239|
| 194|         young|     1224|
| 195|          back|     1211|
| 196|            st|     1205|
| 197|          poor|     1193|
| 198|          mind|     1190|
| 199|       against|     1190|
| 200|         queen|     1177|
| 201|          thus|     1176|
| 202|          part|     1174|
| 203|        friend|     1155|
| 204|          dear|     1146|
| 205|         heard|     1142|
| 206|          whom|     1136|
| 207|          call|     1124|
| 208|          till|     1119|
| 209|          fair|     1117|
| 210|           set|     1098|
| 211|          doth|     1097|
| 212|        prince|     1095|
| 213|        exeunt|     1089|
| 214|          last|     1081|
| 215|          find|     1077|
| 216|           its|     1076|
| 217|        having|     1076|
| 218|          word|     1063|
| 219|         scene|     1060|
| 220|         found|     1058|
| 221|          left|     1055|
| 222|          face|     1053|
| 223|         whose|     1040|
| 224|         three|     1036|
| 225|          fear|     1027|
| 226|           son|     1023|
| 227|         words|     1010|
| 228|          exit|     1010|
| 229|        heaven|     1008|
| 230|     therefore|     1006|
| 231|        indeed|     1004|
| 232|          wife|     1003|
| 233|       herself|     1002|
| 234|          work|      999|
| 235|          told|      998|
| 236|         under|      998|
| 237|     gentleman|      997|
| 238|         sweet|      996|
| 239|          soon|      994|
| 240|       brother|      989|
| 241|        mother|      984|
| 242|         right|      980|
| 243|          took|      971|
| 244|      daughter|      965|
| 245|         going|      965|
| 246|          seen|      960|
| 247|     gutenberg|      957|
| 248|       through|      957|
| 249|          does|      953|
| 250|          full|      952|
| 251|          keep|      952|
| 252|        things|      949|
| 253|           end|      946|
| 254|           get|      943|
| 255|        enough|      941|
| 256|         since|      940|
| 257|        honour|      930|
| 258|          gone|      927|
| 259|          home|      925|
| 260|          went|      921|
| 261|          best|      917|
| 262|          hope|      909|
| 263|       project|      906|
| 264|        rather|      905|
| 265|        always|      904|
| 266|         hands|      901|
| 267|          pray|      900|
| 268|       because|      894|
| 269|          sure|      893|
| 270|        second|      893|
| 271|       between|      892|
| 272|         blood|      892|
| 273|        answer|      891|
| 274|         comes|      888|
| 275|          room|      880|
| 276|          john|      877|
| 277|          emma|      870|
| 278|          gave|      864|
| 279|          else|      851|
| 280|        within|      850|
| 281|          show|      842|
| 282|            ay|      839|
| 283|       friends|      837|
| 284|           far|      833|
| 285|          bear|      833|
| 286|          hold|      824|
| 287|          just|      823|
| 288|          dead|      822|
| 289|       replied|      812|
| 290|        knight|      812|
| 291|         quite|      804|
| 292|      together|      803|
| 293|         bring|      800|
| 294|          body|      800|
| 295|          half|      796|
| 296|       present|      793|
| 297|         stand|      792|
| 298|          live|      791|
| 299|         earth|      779|
| 300|           boy|      776|
| 301|       however|      774|
| 302|          hast|      773|
| 303|        people|      772|
| 304|          wish|      758|
| 305|          kind|      757|
| 306|        sister|      756|
| 307|          knew|      756|
| 308|         truth|      754|
| 309|          none|      753|
| 310|     something|      752|
| 311|           joe|      747|
| 312|          rest|      742|
| 313|         noble|      742|
| 314|       brought|      742|
| 315|       believe|      741|
| 316|           nay|      738|
| 317|    gloucester|      737|
| 318|        matter|      736|
| 319|           use|      729|
| 320|           yes|      729|
| 321|           got|      726|
| 322|          fire|      726|
| 323|        reason|      725|
| 324|          help|      718|
| 325|       husband|      717|
| 326|          side|      715|
| 327|        elinor|      713|
| 328|        looked|      710|
| 329|          days|      701|
| 330|          each|      701|
| 331|        called|      700|
| 332|            er|      699|
| 333|         peace|      693|
| 334|         given|      693|
| 335|           eye|      689|
| 336|         grace|      686|
| 337|          door|      686|
| 338|         means|      685|
| 339|          mean|      684|
| 340|          stay|      684|
| 341|           ill|      683|
| 342|         asked|      682|
| 343|          soul|      681|
| 344|         doubt|      676|
| 345|         whole|      674|
| 346|       fortune|      674|
| 347|          turn|      673|
| 348|         henry|      669|
| 349|         light|      663|
| 350|        nature|      662|
| 351|        others|      661|
| 352|       servant|      657|
| 353|        return|      651|
| 354|         state|      649|
| 355|           new|      648|
| 356|        seemed|      647|
| 357|          less|      647|
| 358|         forth|      647|
| 359|           die|      646|
| 360|       worship|      640|
| 361|         alone|      640|
| 362|          read|      638|
| 363|        edward|      637|
| 364|          page|      636|
| 365|           lay|      636|
| 366|           bed|      635|
| 367|        coming|      633|
| 368|          hour|      633|
| 369|        letter|      632|
| 370|       whether|      629|
| 371|        please|      626|
| 372|      mistress|      621|
| 373|        caesar|      620|
| 374|          want|      620|
| 375|      pleasure|      614|
| 376|        moment|      610|
| 377|        person|      609|
| 378|         power|      602|
| 379|      falstaff|      602|
| 380|          felt|      601|
| 381|      thousand|      600|
| 382|         voice|      598|
| 383|          near|      597|
| 384|         cause|      593|
| 385|         happy|      592|
| 386|          arms|      591|
| 387|       morning|      591|
| 388|         thine|      588|
| 389|        tongue|      587|
| 390|      yourself|      587|
| 391|          says|      586|
| 392|         faith|      584|
| 393|        beauty|      583|
| 394|          fool|      582|
| 395|       chapter|      576|
| 396|         round|      576|
| 397|          fall|      575|
| 398|         aside|      575|
| 399|         marry|      575|
| 400|            tm|      570|
| 401|          next|      567|
| 402|      marianne|      566|
| 403|         years|      564|
| 404|        almost|      562|
| 405|          care|      560|
| 406|        france|      557|
| 407|         makes|      557|
| 408|            re|      556|
| 409|          open|      554|
| 410|           ask|      553|
| 411|       already|      552|
| 412|         known|      551|
| 413|           act|      550|
| 414|         madam|      550|
| 415|      business|      549|
| 416|          dost|      549|
| 417|        either|      549|
| 418|         cried|      549|
| 419|          four|      548|
| 420|         taken|      548|
| 421|         began|      548|
| 422|        course|      546|
| 423|      anything|      545|
| 424|         tears|      545|
| 425|          high|      544|
| 426|    themselves|      544|
| 427|         times|      541|
| 428|         women|      534|
| 429|       richard|      534|
| 430|         short|      533|
| 431|         child|      531|
| 432|         sword|      530|
| 433|         money|      527|
| 434|       neither|      526|
| 435|        antony|      525|
| 436|       country|      523|
| 437|       looking|      522|
| 438|        follow|      520|
| 439|         among|      518|
| 440|            ye|      516|
| 441|      returned|      515|
| 442|         least|      513|
| 443|         lords|      511|
| 444|          talk|      511|
| 445|         senor|      511|
| 446|          lost|      510|
| 447|      answered|      509|
| 448|          sent|      507|
| 449|        fellow|      507|
| 450|         wrong|      507|
| 451|           few|      506|
| 452|          play|      506|
| 453|       harriet|      506|
| 454|        desire|      503|
| 455|            oh|      501|
| 456|         white|      501|
| 457|          york|      499|
| 458|          case|      498|
| 459|       strange|      496|
| 460|       certain|      495|
| 461|          also|      495|
| 462|           air|      493|
| 463|        brutus|      493|
| 464|        gentle|      492|
| 465|         point|      490|
| 466|          unto|      490|
| 467|         until|      489|
| 468|          meet|      487|
| 469|         stood|      486|
| 470|         often|      486|
| 471|        saying|      485|
| 472|        hamlet|      481|
| 473|       subject|      479|
| 474|      thoughts|      479|
| 475|         horse|      479|
| 476|        seeing|      476|
| 477|    heathcliff|      476|
| 478|      princess|      474|
| 479|       purpose|      474|
| 480|        making|      473|
| 481|       welcome|      473|
| 482|           lie|      469|
| 483|         sleep|      469|
| 484|        morrow|      467|
| 485|          feel|      466|
| 486|       company|      465|
| 487|       general|      463|
| 488|        itself|      462|
| 489|      remember|      462|
| 490|         above|      461|
| 491|        ground|      460|
| 492|           arm|      458|
| 493|          news|      456|
| 494|       perhaps|      454|
| 495|          wilt|      454|
| 496|       towards|      451|
| 497|          cold|      447|
| 498|           ere|      444|
| 499|        weston|      440|
| 500|          hard|      439|
| 501|         sight|      439|
| 502|         ready|      437|
| 503|           bad|      437|
| 504|          need|      437|
| 505|          send|      436|
| 506|          free|      435|
| 507|           red|      435|
| 508|      question|      434|
| 509|         black|      432|
| 510|        strong|      432|
| 511|        spirit|      431|
| 512|         devil|      431|
| 513|         shame|      428|
| 514|           bid|      426|
| 515|           law|      425|
| 516|         sound|      424|
| 517|          sort|      424|
| 518|       warwick|      424|
| 519|         works|      423|
| 520|         knows|      423|
| 521|        manner|      422|
| 522|         youth|      422|
| 523|         hence|      422|
| 524|          pass|      419|
| 525|          seem|      419|
| 526|         thank|      419|
| 527|          kill|      418|
| 528|         court|      414|
| 529|       account|      412|
| 530|          fell|      410|
| 531|        worthy|      408|
| 532|      farewell|      407|
| 533|          town|      407|
| 534|        cousin|      406|
